date,open,close,high,low,volume,amount,turnover
2025-01-02,6.28,6.08,6.35,6.0,197407.82,124731.851,
2025-01-03,6.1,5.79,6.14,5.78,182407.72,109848.271,
2025-01-06,5.78,5.79,5.87,5.61,124124.0,73072.069,
2025-01-07,5.81,5.97,5.97,5.8,107874.23,64722.023,
2025-01-08,5.91,5.91,5.95,5.7,149580.7,89257.674,
2025-01-09,5.9,5.98,6.04,5.86,137708.86,83918.471,
2025-01-10,5.96,5.83,6.05,5.82,133658.82,81065.059,
2025-01-13,5.76,5.86,5.88,5.64,102825.5,60724.342,
2025-01-14,5.89,6.14,6.15,5.88,174665.0,108152.192,
2025-01-15,6.17,6.1,6.18,6.08,109178.0,68169.458,
2025-01-16,6.14,6.16,6.27,6.09,138637.39,87325.438,
2025-01-17,6.11,6.12,6.17,6.06,84775.0,53003.098,
2025-01-20,6.17,6.18,6.22,6.12,110961.0,70045.046,
2025-01-21,6.22,6.16,6.23,6.1,89550.0,56198.478,
2025-01-22,6.12,6.11,6.15,6.09,79333.39,49492.854,
2025-01-23,6.17,6.1,6.25,6.1,120456.15,76008.519,
2025-01-24,6.09,6.15,6.16,6.09,94317.0,59037.144,
2025-01-27,6.16,6.06,6.22,6.05,100949.0,63134.56,
2025-02-05,6.13,6.41,6.66,6.1,628353.73,414477.052,
2025-02-06,6.32,6.71,6.72,6.32,662938.16,444357.159,
2025-02-07,6.68,6.89,7.06,6.66,717632.07,502181.993,
2025-02-10,6.89,6.82,6.95,6.69,412596.0,286543.454,
2025-02-11,6.82,6.77,7.05,6.71,398150.39,277451.225,
2025-02-12,6.71,6.75,6.83,6.67,359244.0,247755.447,
2025-02-13,6.77,6.84,6.94,6.59,532660.4,369218.037,
2025-02-14,6.8,7.03,7.12,6.71,681191.0,480350.246,
2025-02-17,7.04,7.03,7.2,6.94,673133.75,484599.481,
2025-02-18,6.97,6.77,7.06,6.77,413067.93,291449.757,
2025-02-19,6.77,7.1,7.28,6.77,672239.61,483516.884,
2025-02-20,7.1,7.09,7.2,7.01,486266.72,351732.356,
2025-02-21,7.08,7.08,7.15,7.01,454458.58,328055.451,
2025-02-24,7.06,7.16,7.22,7.01,507681.0,369605.309,
2025-02-25,7.07,7.01,7.14,6.98,363220.34,261149.738,
2025-02-26,7.01,7.11,7.2,7.0,378670.42,274656.208,
2025-02-27,7.15,7.83,7.83,7.15,552313.02,438546.566,
2025-02-28,8.21,7.41,8.41,7.41,1905915.12,1540405.626,
2025-03-03,7.38,6.85,7.56,6.75,1174488.38,844881.884,
2025-03-04,6.74,7.02,7.07,6.74,696831.02,494510.647,
2025-03-05,7.0,7.02,7.05,6.88,456781.0,324645.149,
2025-03-06,7.0,7.08,7.15,6.96,499083.19,360630.377,
2025-03-07,7.03,6.99,7.15,6.91,447135.73,319967.032,
2025-03-10,7.03,6.94,7.04,6.89,298438.47,211356.453,
2025-03-11,6.83,6.92,6.92,6.8,291044.0,203634.154,
2025-03-12,6.96,7.61,7.61,6.96,539323.97,412821.644,
2025-03-13,7.56,7.33,7.69,7.21,1141646.26,860919.977,
2025-03-14,7.33,7.35,7.38,7.16,581164.81,431724.464,
2025-03-17,7.5,7.62,7.77,7.38,892896.67,691479.208,
2025-03-18,7.64,8.01,8.01,7.64,1108772.16,887799.418,
2025-03-19,8.01,8.81,8.81,7.79,1789639.96,1557871.517,
2025-03-20,9.31,9.69,9.69,9.3,447644.13,436349.441,
2025-03-21,10.66,10.66,10.66,9.98,3413554.35,3643606.182,
2025-03-24,10.19,9.59,10.31,9.59,594183.15,594377.317,
2025-03-25,8.89,8.63,9.26,8.63,1593467.07,1430909.599,
2025-03-26,8.05,8.17,8.6,7.97,1753343.13,1467957.486,
2025-03-27,8.23,7.73,8.3,7.73,1285949.55,1038559.997,
2025-03-28,7.68,7.77,8.11,7.67,996710.69,799817.286,
2025-03-31,7.61,7.51,7.7,7.27,904529.99,685783.558,
2025-04-01,7.52,7.47,7.64,7.42,598466.43,459845.484,
2025-04-02,7.5,7.47,7.58,7.4,527909.43,404522.273,
